geneset,go_id,gene
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,TEX261
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,LMAN2L
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,LMAN1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,LMAN2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,GOLGA2
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,HLA-DPA1
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,CD59
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC31A
CatSper Complex,GO:0036128,CATSPER2
CatSper Complex,GO:0036128,CATSPER1
CatSper Complex,GO:0036128,CATSPER4
CatSper Complex,GO:0036128,CATSPER3
CatSper Complex,GO:0036128,CATSPERZ
CatSper Complex,GO:0036128,HSPA2
CatSper Complex,GO:0036128,TMEM262
CatSper Complex,GO:0036128,EFCAB9
CatSper Complex,GO:0036128,CATSPERB
CatSper Complex,GO:0036128,CATSPERD
CatSper Complex,GO:0036128,CATSPERE
CatSper Complex,GO:0036128,TMEM249
CatSper Complex,GO:0036128,CATSPERG
Cdc73/Paf1 Complex,GO:0016593,SKIC8
Cdc73/Paf1 Complex,GO:0016593,CTR9
Cdc73/Paf1 Complex,GO:0016593,LEO1
Cdc73/Paf1 Complex,GO:0016593,RTF1
Cdc73/Paf1 Complex,GO:0016593,PEX2
Cdc73/Paf1 Complex,GO:0016593,PAF1
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,KLHDC3
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ZER1
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,LRRC75A
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ZYG11B
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ZYG11A
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,FEM1B
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,GLMN
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,FEM1C
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,KLHDC2
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF20
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,COMMD1
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF22
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,RBX1
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF27
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF26
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ASB4
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,CUL2
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF10
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF12
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF11
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF33
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF18
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF7
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF17
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF6
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF5
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF19
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF4
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF14
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF13
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF2
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF1
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF15
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ELOB
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ARIH1
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ELOC
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAME
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ZSWIM8
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ZSWIM5
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ZSWIM6
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,KLHDC10
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF9
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,PRAMEF8
Cul2-RING Ubiquitin Ligase Complex,GO:0031462,ZSWIM4
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL28
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL29
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL2
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL22
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL23
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL3
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL24
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL4
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL25
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL5
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KBTBD12
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL20
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,RBX1
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL1
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL21
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KBTBD6
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KBTBD7
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL6
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL7
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KBTBD2
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL8
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KBTBD3
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KLHL9
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,SPOPL
Cul3-RING Ubiquitin Ligase Complex,GO:0031463,KBTBD8
